game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season,num_game,a_fgm,a_fga,a_fg_pct,a_fg3m,a_fg3a,a_fg3_pct,a_ftm,a_fta,a_ft_pct,a_oreb,a_dreb,a_reb,a_ast,a_stl,a_blk,a_tov,a_pf,a_pts,a_num_game,spread
21600140,2016-11-13,CHA @ CLE,1610612739,t,W,8,1,0.889,240,39,92,0.424,14,38,0.368,8,15,1,12,41,53,25,3,8,9,13,100,1610612766,2016,Regular Season,2016-17,9,36,95,0.379,11,29,0.379,10,12,1,10,35,45,23,7,3,5,19,93,9,7.25
21600245,2016-11-27,CLE @ PHI,1610612755,t,L,4,13,0.235,240,43,92,0.467,15,34,0.441,7,10,1,13,37,50,29,5,5,16,24,108,1610612739,2016,Regular Season,2016-17,17,38,92,0.413,12,40,0.3,24,28,1,14,32,46,19,5,3,9,14,112,15,-11.25
21600617,2017-01-16,ORL @ DEN,1610612743,t,W,16,23,0.41,240,52,89,0.584,9,27,0.333,12,15,1,9,30,39,33,11,3,14,17,125,1610612753,2016,Regular Season,2016-17,39,45,88,0.511,8,25,0.32,14,18,1,7,27,34,28,6,1,14,10,112,43,5.75
21600546,2017-01-06,PHI @ BOS,1610612738,t,W,22,14,0.611,240,35,87,0.402,19,40,0.475,21,25,1,12,30,42,28,6,11,17,22,110,1610612755,2016,Regular Season,2016-17,36,37,79,0.468,9,28,0.321,23,26,1,4,37,41,30,9,11,15,23,106,34,11.25
21600307,2016-12-05,OKC @ ATL,1610612737,t,L,10,12,0.455,240,34,77,0.442,7,22,0.318,24,32,1,7,29,36,26,13,3,18,24,99,1610612760,2016,Regular Season,2016-17,22,37,80,0.463,10,31,0.323,18,28,1,8,35,43,26,9,5,19,27,102,22,4.25
21600901,2017-03-01,CLE @ BOS,1610612738,t,W,39,22,0.639,240,36,78,0.462,13,31,0.419,18,23,1,8,39,47,28,4,6,12,21,103,1610612739,2016,Regular Season,2016-17,61,37,91,0.407,10,33,0.303,15,22,1,12,29,41,20,3,5,10,21,99,59,0.5
21600117,2016-11-10,NOP @ MIL,1610612749,t,L,4,4,0.5,240,40,91,0.44,6,18,0.333,20,25,1,11,37,48,23,4,5,11,20,106,1610612740,2016,Regular Season,2016-17,8,39,89,0.438,9,25,0.36,25,27,1,11,36,47,22,9,7,10,19,112,9,5.25
21600762,2017-02-04,DEN @ SAS,1610612759,t,W,39,11,0.78,240,45,79,0.57,10,21,0.476,21,26,1,7,31,38,29,13,8,14,15,121,1610612743,2016,Regular Season,2016-17,50,41,92,0.446,10,26,0.385,5,10,0,16,26,42,22,7,1,21,19,97,50,13
21601001,2017-03-14,IND @ NYK,1610612752,t,W,27,41,0.397,240,35,83,0.422,9,28,0.321,8,13,1,11,41,52,21,8,4,14,15,87,1610612754,2016,Regular Season,2016-17,68,32,87,0.368,8,29,0.276,9,15,1,14,39,53,16,6,3,16,14,81,67,-3.25
21600252,2016-11-27,ATL @ LAL,1610612747,t,W,9,9,0.5,240,42,95,0.442,8,20,0.4,17,20,1,15,38,53,20,7,2,9,15,109,1610612737,2016,Regular Season,2016-17,18,39,88,0.443,12,35,0.343,4,10,0,7,31,38,25,5,6,12,19,94,17,-5.75
